position,strand,count_1,count_2,ratio,mt_freq_t1,mt_freq_t2,pop_freq_t1,pop_freq_t2,gene,D,W,nW
44,b/b,20,20,1,5.450534356762e-06,5.450534356762e-06,0.999994549465643,0.999994549465643,,10,1,1
1703,b/b,269,269,1,7.33096870984489e-05,7.33096870984489e-05,0.999926690312902,0.999926690312902,,10,1,1
2889,b/b,234,234,1,6.37712519741154e-05,6.37712519741154e-05,0.999936228748026,0.999936228748026,SP_0003,10,1,1
2891,-/-,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0003,10,1,1
3159,-/-,1555,1555,1,0.000423779046238246,0.000423779046238246,0.999576220953762,0.999576220953762,,10,1,1
3212,+/+,5,5,1,1.3626335891905e-06,1.3626335891905e-06,0.999998637366411,0.999998637366411,SP_0004,10,1,1
4315,b/b,821,821,1,0.00022374443534508,0.00022374443534508,0.999776255564655,0.999776255564655,,10,1,1
5103,+/+,2,2,1,5.450534356762e-07,5.450534356762e-07,0.999999454946564,0.999999454946564,SP_0006,10,1,1
6075,b/b,1926,1926,1,0.000524886458556181,0.000524886458556181,0.999475113541444,0.999475113541444,SP_0006,10,1,1
6444,+/+,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0006,10,1,1
6467,b/b,127,127,1,3.46108931654387e-05,3.46108931654387e-05,0.999965389106835,0.999965389106835,SP_0006,10,1,1
6982,+/+,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0006,10,1,1
7167,b/b,3544,3544,1,0.000965834688018227,0.000965834688018227,0.999034165311982,0.999034165311982,SP_0006,10,1,1
8026,b/b,842,842,1,0.00022946749641968,0.00022946749641968,0.99977053250358,0.99977053250358,SP_0006,10,1,1
8147,-/-,16,16,1,4.3604274854096e-06,4.3604274854096e-06,0.999995639572515,0.999995639572515,,10,1,1
8479,+/+,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,,10,1,1
8537,-/-,4,4,1,1.0901068713524e-06,1.0901068713524e-06,0.999998909893129,0.999998909893129,SP_0007,10,1,1
8611,-/-,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0007,10,1,1
8612,b/b,702,702,1,0.000191313755922346,0.000191313755922346,0.999808686244078,0.999808686244078,SP_0007,10,1,1
9037,+/+,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0008,10,1,1
9118,b/b,355,355,1,9.67469848325255e-05,9.67469848325255e-05,0.999903253015167,0.999903253015167,,10,1,1
9635,b/b,11,11,1,2.9977938962191e-06,2.9977938962191e-06,0.999997002206104,0.999997002206104,SP_0010,10,1,1
10095,+/+,6,6,1,1.6351603070286e-06,1.6351603070286e-06,0.999998364839693,0.999998364839693,SP_0010,10,1,1
12119,b/b,3,3,1,8.175801535143e-07,8.175801535143e-07,0.999999182419847,0.999999182419847,SP_0012,10,1,1
12248,b/b,7327,7327,1,0.00199680326159976,0.00199680326159976,0.9980031967384,0.9980031967384,SP_0012,10,1,1
12773,-/-,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0013,10,1,1
23058,-/-,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0019,10,1,1
24156,+/+,9,9,1,2.4527404605429e-06,2.4527404605429e-06,0.999997547259539,0.999997547259539,,10,1,1
24234,-/-,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,,10,1,1
25155,+/+,2,2,1,5.450534356762e-07,5.450534356762e-07,0.999999454946564,0.999999454946564,SP_0021,10,1,1
25343,b/b,338,338,1,9.21140306292778e-05,9.21140306292778e-05,0.999907885969371,0.999907885969371,SP_0021,10,1,1
25664,b/b,4,4,1,1.0901068713524e-06,1.0901068713524e-06,0.999998909893129,0.999998909893129,SP_0022,10,1,1
25761,b/b,1569,1569,1,0.000427594420287979,0.000427594420287979,0.999572405579712,0.999572405579712,SP_0022,10,1,1
25809,b/b,893,893,1,0.000243366359029423,0.000243366359029423,0.999756633640971,0.999756633640971,SP_0022,10,1,1
25841,-/-,4,4,1,1.0901068713524e-06,1.0901068713524e-06,0.999998909893129,0.999998909893129,SP_0022,10,1,1
26938,+/+,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,SP_0023,10,1,1
27210,b/b,150,150,1,4.0879007675715e-05,4.0879007675715e-05,0.999959120992324,0.999959120992324,,10,1,1
27942,-/-,37,37,1,1.00834885600097e-05,1.00834885600097e-05,0.99998991651144,0.99998991651144,SP_0025,10,1,1
28374,b/b,1356,1356,1,0.000369546229388464,0.000369546229388464,0.999630453770612,0.999630453770612,SP_0026,10,1,1
28807,b/b,681,681,1,0.000185590694847746,0.000185590694847746,0.999814409305152,0.999814409305152,,10,1,1
28839,b/b,832,832,1,0.000226742229241299,0.000226742229241299,0.999773257770759,0.999773257770759,,10,1,1
29909,b/b,126,126,1,3.43383664476006e-05,3.43383664476006e-05,0.999965661633552,0.999965661633552,,10,1,1
31129,b/b,546,546,1,0.000148799587939603,0.000148799587939603,0.99985120041206,0.99985120041206,SP_0031,10,1,1
31380,+/+,1,1,1,2.725267178381e-07,2.725267178381e-07,0.999999727473282,0.999999727473282,,10,1,1
31385,b/b,6,6,1,1.6351603070286e-06,1.6351603070286e-06,0.999998364839693,0.999998364839693,,10,1,1
31394,b/b,2,2,1,5.450534356762e-07,5.450534356762e-07,0.999999454946564,0.999999454946564,,10,1,1
31399,b/b,4,4,1,1.0901068713524e-06,1.0901068713524e-06,0.999998909893129,0.999998909893129,,10,1,1
