"","trans.index","pool.index","distance","position","gene","plate","well","code"
"1",6089,2,3,1246277,"SP_1322",1,2,"000111100101111110010110"
"2",5022,10,3,1354580,"SP_1435",1,10,"011111100101110010100101"
"3",5087,25,3,1558457,"",1,25,"011000110001100011100100"
"4",5927,26,2,2056667,"SP_2144",1,26,"000111100111111001110100"
"5",3778,28,3,1991803,"SP_2082",1,28,"001001111101110100010001"
"6",5789,33,1,1486426,"SP_1581",1,33,"001011100101000010101010"
"7",4819,36,2,870264,"SP_0916",1,36,"010100001110011100010100"
"8",4323,37,1,2143681,"SP_2225",1,37,"111001111001111101100000"
"9",3630,43,3,1929198,"SP_2023",1,43,"011101111110110100100010"
"10",6166,49,2,1859496,"SP_1955",1,49,"000111100000011010011001"
"11",1013,51,0,450759,"SP_0473",1,51,"110000001001010110101001"
"12",4778,54,3,730314,"SP_0771",1,54,"011111010110000011110011"
"13",3135,66,3,1709445,"",1,66,"101111100111110110000100"
"14",5314,72,3,2004319,"SP_2096",1,72,"110011111001001110010011"
"15",2979,80,3,1623714,"",1,80,"100110100011101000110011"
"16",4949,81,3,1228522,"SP_1294",1,81,"010111000000010111111001"
"17",2719,83,1,1457731,"SP_1550",1,83,"000010011101110110001110"
"18",5481,94,0,145443,"",1,94,"001110011001011010011100"
"19",3036,96,0,1663839,"",1,96,"110010100110100110101111"
"20",4370,110,3,2160725,"SP_2240",1,110,"111011011001110010011001"
"21",5447,113,1,73843,"SP_0071",1,113,"001100110011110000110011"
"22",2522,115,1,1334033,"SP_1415",1,115,"100000010000110001101111"
"23",1971,118,0,978143,"SP_1038",1,118,"111000011100001100111001"
"24",1041,119,3,457451,"SP_0478",1,119,"000100100010100011101110"
"25",6254,120,2,1261878,"",1,120,"000010010111110100011101"
"26",621,129,2,220427,"SP_0251",1,129,"100101011100010110010101"
"27",3430,130,0,1836969,"SP_1931",1,130,"100011011011111001001000"
"28",2646,133,3,1394120,"",1,133,"101101000111100011100001"
"29",2989,142,3,1642102,"",1,142,"110111010110110010100101"
"30",3000,142,1,1653363,"SP_1752",1,142,"110111010110110010100101"
"31",4374,146,2,25761,"SP_0022",1,146,"010110010101011010010011"
"32",604,147,3,217838,"",1,147,"100110010101111101101010"
"33",1340,147,1,598203,"",1,147,"100110010101111101101010"
"34",4221,147,3,2093241,"SP_2176",1,147,"100110010101111101101010"
"35",249,153,0,99114,"",1,153,"110010010001111001110001"
"36",926,163,1,392433,"SP_0412",1,163,"111100001100001110011010"
"37",2325,164,1,1218575,"SP_1283",1,164,"110101001010001110101100"
"38",5842,172,3,1736337,"SP_1825",1,172,"001111111010111100001001"
"39",3455,173,3,1848972,"",1,173,"011111100011100110010110"
"40",1641,177,3,732476,"",1,177,"111111001100110000001111"
"41",2585,177,3,1353501,"SP_1434",1,177,"111111001100110000001111"
"42",3282,178,1,1754734,"",1,178,"001011100101100101101111"
"43",4144,178,3,2082364,"SP_2165",1,178,"001011100101100101101111"
"44",5008,181,1,1331198,"",1,181,"011111101100000000001010"
"45",5030,181,0,1382983,"",1,181,"011111101100000000001010"
"46",4982,187,0,1265537,"",1,187,"010000011001000011111100"
"47",2145,198,1,1083832,"",1,198,"110101000000101011111010"
"48",2584,203,2,1353432,"SP_1434",1,203,"010011100101101010100011"
"49",5250,213,0,1859454,"SP_1955",1,213,"011100101010001110010110"
"50",168,215,2,76411,"SP_0071",1,215,"110011000011101010101111"
"51",4931,217,3,1147312,"",1,217,"111010001000101100100010"
"52",2920,218,1,1590133,"SP_1689",1,218,"001111111101111000100001"
"53",2261,227,3,1168865,"SP_1238",1,227,"111010000011111101010101"
"54",5131,229,2,1667559,"SP_1764",1,229,"010111111001000011111001"
"55",6026,234,0,530225,"",1,234,"000101110111110100011000"
"56",4704,237,3,605363,"SP_0641",1,237,"010111001110011111011000"
"57",5344,237,3,2043074,"SP_2131",1,237,"010111001110011111011000"
"58",5021,244,0,1354311,"",1,244,"011001010111000101000100"
"59",3143,245,1,1712380,"SP_1796",1,245,"110100101010000001100110"
"60",5240,251,0,1852556,"SP_1950",1,251,"010000010011000001101111"
"61",1007,253,1,449975,"",1,253,"100000101000110110001011"
"62",3453,258,2,1845450,"SP_1941",1,258,"010010111110110110001011"
"63",4766,259,1,702915,"SP_0741",1,259,"011010100000011001010110"
"64",5674,260,3,929237,"",1,260,"001000100100110110111000"
"65",4748,262,1,668159,"",1,262,"010111110010010010001110"
"66",3698,266,0,1945318,"SP_2039",1,266,"110001101001100111000101"
"67",2619,270,0,1371726,"SP_1453",1,270,"111101011000010000010100"
"68",3167,272,3,1719585,"",1,272,"110110001110011101001110"
"69",3680,279,3,1941813,"SP_2035",1,279,"000001011110100010111011"
"70",6333,279,3,1340210,"SP_1419",1,279,"000001011110100010111011"
"71",5155,281,3,1715401,"SP_1799",1,281,"110110001100111110010110"
"72",1901,282,0,930787,"SP_0986",1,282,"100001001101000100101101"
"73",697,283,1,265518,"SP_0287",1,283,"000010101001100111001010"
"74",2291,284,1,1190340,"SP_1257",1,284,"001101011101110111011000"
"75",5654,290,1,781928,"SP_0833",1,290,"001011100010100001000111"
"76",4749,301,3,670966,"SP_0705",1,301,"111011011110010010001011"
"77",2066,302,3,1024543,"SP_1087",1,302,"100100110111110101110001"
"78",5843,304,2,1736410,"SP_1825",1,304,"001001110101010110100101"
"79",5339,313,3,2039930,"SP_2128",1,313,"010111001001011011110000"
"80",4846,324,3,967797,"SP_1025",1,324,"011100010101110000000011"
"81",6284,338,3,2076136,"SP_2159",1,338,"000111100100110100010001"
"82",1131,341,2,503827,"SP_0523",1,341,"100000101001100101101111"
"83",5443,348,3,63603,"",1,348,"001001001111010110100011"
"84",5590,350,0,512038,"",1,350,"001000100011110001101111"
"85",4774,354,1,723165,"",1,354,"011110001001010110010110"
"86",5187,356,1,1745090,"",1,356,"011100100101010101010011"
"87",3045,364,0,1666097,"SP_1763",1,364,"110010010101110011000011"
"88",4758,366,1,683449,"SP_0717",1,366,"010101101100010100111100"
"89",2465,371,2,1278931,"SP_1357",1,371,"101001100100101101001101"
"90",5802,373,2,1568265,"",1,373,"001100111000000101111110"
"91",989,375,1,439798,"SP_0462",1,375,"110111010100010010000010"
"92",1671,382,3,757987,"",1,382,"100011010011111100111001"
"93",1895,382,3,926508,"SP_0980",1,382,"100011010011111100111001"
"94",2403,404,3,1252208,"SP_1328",2,20,"100111001101010001111110"
"95",2790,404,3,1527064,"SP_1625",2,20,"100111001101010001111110"
"96",5360,406,3,2058786,"SP_2145",2,22,"010101101011110111010001"
"97",5940,413,3,2080718,"SP_2162",2,29,"001100110000011010010011"
"98",5662,416,1,860424,"SP_0907",2,32,"000010101111010100111100"
"99",62,418,1,57371,"SP_0054",2,34,"010111001010110001010000"
"100",4515,420,3,202556,"",2,36,"011111010111010011101000"
"101",4947,431,0,1226619,"SP_1292",2,47,"011001101110010010111011"
"102",5406,431,3,2095133,"",2,47,"011001101110010010111011"
"103",6019,433,0,459947,"SP_0479",2,49,"000110111111001100000011"
"104",3378,436,3,1800525,"SP_1894",2,52,"101100101110111001000001"
"105",245,441,0,98215,"SP_0096",2,57,"100100001111110001101010"
"106",1289,442,1,563188,"SP_0592",2,58,"101010100101100100000110"
"107",5424,445,0,2117531,"SP_2194",2,61,"011011001011111001001101"
"108",1767,446,3,853434,"",2,62,"100011100001111001001110"
"109",2108,449,1,1055969,"SP_1122",2,65,"001110100000110011000101"
"110",692,451,0,264517,"SP_0286",2,67,"111011101010000000110000"
"111",4556,454,1,278575,"",2,70,"010000100101010111001001"
"112",2105,456,0,1055269,"SP_1121",2,72,"111110100101110000110011"
"113",2158,456,3,1089577,"",2,72,"111110100101110000110011"
"114",2268,456,3,1178212,"SP_1246",2,72,"111110100101110000110011"
"115",1915,457,0,946638,"",2,73,"101010101101100010001000"
"116",3210,457,3,1735429,"SP_1824",2,73,"101010101101100010001000"
"117",3590,457,3,1905207,"SP_2001",2,73,"101010101101100010001000"
"118",3654,457,3,1937220,"SP_2031",2,73,"101010101101100010001000"
"119",2602,458,1,1362012,"SP_1441",2,74,"111010001011111000100100"
"120",850,459,1,351936,"SP_0373",2,75,"000000110010111011010001"
"121",1245,460,3,545217,"SP_0577",2,76,"100110100111011100100111"
"122",352,461,1,137580,"SP_0139",2,77,"100111111100011010010011"
"123",4597,466,3,389529,"SP_0409",2,82,"011100100011011000000011"
"124",2795,470,1,1527514,"",2,86,"001010111100111101011010"
"125",5444,472,3,64839,"",2,88,"001100001010111110101111"
"126",5427,473,0,2127606,"SP_2206",2,89,"011111100001100001110100"
"127",844,474,1,347369,"SP_0369",2,90,"100100111111010111000101"
"128",3662,474,3,1938757,"SP_2032",2,90,"100100111111010111000101"
"129",3638,476,3,1931427,"SP_2026",2,92,"101101110101000001010011"
"130",2561,479,0,1349622,"SP_1430",2,95,"101000000101010101011001"
"131",4923,488,3,1112847,"SP_1175",2,104,"011110111101100000010111"
"132",2486,489,3,1301921,"",2,105,"001001111111010111001001"
"133",4165,491,3,2085110,"SP_2168",2,107,"111100001010111101101100"
"134",3940,492,2,2041829,"",2,108,"011100010001111001001110"
"135",809,498,3,312917,"",2,114,"110101000000010110100011"
"136",6218,502,1,173670,"",2,118,"000010010001111001001101"
"137",3575,510,3,1896267,"",2,126,"001001001011000101110010"
"138",334,518,0,135817,"SP_0137",2,134,"110101000011000010100101"
"139",4724,519,3,626700,"SP_0655",2,135,"111000100011110001010011"
"140",6288,521,0,2084847,"",2,137,"000011001001110010011100"
"141",4697,523,1,595295,"SP_0628",2,139,"001101100110111110100110"
"142",4685,524,0,557533,"SP_0587",2,140,"010111110100011100100001"
"143",5227,525,3,1805337,"SP_1898",2,141,"011000110101001101101100"
"144",5325,525,0,2014709,"",2,141,"011000110101001101101100"
"145",2786,534,0,1522516,"",2,150,"101100010010101110001011"
