,plate,well,code,trans.index,pool.index,distance,position,gene
5,1,5,1.00111E+23,5899,5,3,72879,SP_0069
6,1,6,1.1011E+21,5512,6,3,370672,
9,1,9,1.11001E+21,968,9,3,436116,
10,1,10,1.11111E+22,4798,10,3,855499,
10.1,1,10,1.11111E+22,4908,10,3,1123365,SP_1185
11,1,11,1E+22,4756,11,2,724098,
13,1,13,1.10101E+17,5208,13,3,1800323,SP_1894
18,1,18,1.10011E+18,4750,18,3,702915,SP_0741
25,1,25,1.10001E+22,4859,25,2,998046,SP_1062
27,1,27,1.0011E+23,2067,27,3,1025206,SP_1088
29,1,29,1.00111E+23,887,29,3,374545,SP_0395
33,1,33,1.0111E+21,5440,33,2,60926,SP_0057
36,1,36,1.01E+22,4612,36,3,450428,
36.1,1,36,1.01E+22,4772,36,3,745749,SP_0791
38,1,38,1.101E+23,3447,38,3,1842134,SP_1939
40,1,40,1.11E+23,2073,40,3,1033906,
42,1,42,1.1111E+23,978,42,2,438069,
43,1,43,1.11011E+22,2475,43,3,1293984,SP_1371
48,1,48,1.0111E+22,5022,48,3,1398993,
54,1,54,1.1111E+22,5060,54,3,1520453,SP_1620
59,1,59,1.0011E+23,6064,59,2,1736410,SP_1825
60,1,60,1.0001E+20,5920,60,3,170224,SP_0177
61,1,61,1.11101E+23,3017,61,3,1659177,SP_1758
62,1,62,1.1E+20,4676,62,3,548914,SP_0580
65,1,65,1.01111E+22,5343,65,3,2053858,SP_2143
66,1,66,1.01111E+23,81,66,2,61758,SP_0057
66.1,1,66,1.01111E+23,106,66,3,66005,SP_0060
66.2,1,66,1.01111E+23,907,66,3,376838,SP_0397
66.3,1,66,1.01111E+23,1765,66,3,846948,
66.4,1,66,1.01111E+23,2197,66,3,1113434,
66.5,1,66,1.01111E+23,4165,66,3,2085110,SP_2168
71,1,71,1.1E+23,3766,71,3,1983990,SP_2075
74,1,74,1.00011E+23,5,74,3,4315,
76,1,76,1.1011E+23,650,76,3,224488,
86,1,86,1.10111E+22,4762,86,2,730860,SP_0772
86.1,1,86,1.10111E+22,5123,86,3,1667696,
86.2,1,86,1.10111E+22,5864,86,3,2059930,SP_2146
88,1,88,1.1101E+22,4805,88,3,868421,SP_0915
89,1,89,1E+23,6313,89,3,462104,SP_0481
91,1,91,1.11101E+23,1877,91,2,912245,SP_0965
92,1,92,1.00011E+23,499,92,3,164842,
114,1,114,1.0011E+23,2957,114,3,1610220,
116,1,116,1.11001E+23,1483,116,3,656607,SP_0686
121,1,121,1.11E+23,4842,121,3,977912,SP_1037
123,1,123,1.0101E+23,5458,123,3,100449,SP_0098
124,1,124,1.00111E+21,4706,124,3,615428,
127,1,127,1.1001E+22,4769,127,3,740734,SP_0787
127.1,1,127,1.1001E+22,5283,127,3,1981070,SP_2073
132,1,132,1.10011E+23,562,132,3,192777,
133,1,133,1.01101E+23,1835,133,2,883524,SP_0930
139,1,139,1.01111E+23,18,139,3,12119,SP_0012
145,1,145,1.10001E+23,604,145,3,217838,
145.1,1,145,1.10001E+23,2874,145,3,1578879,
151,1,151,1.11101E+23,2701,151,3,1443157,
157,1,157,1.1E+21,5619,157,3,740192,SP_0786
160,1,160,1.01001E+20,5946,160,2,465678,SP_0484
161,1,161,1.01101E+21,5851,161,2,2031054,SP_2117
164,1,164,1.10101E+23,1340,164,3,598203,
165,1,165,1.101E+23,262,165,3,103013,SP_0101
