position,strand,count_1,count_2,ratio,mt_freq_t1,mt_freq_t2,pop_freq_t1,pop_freq_t2,gene,D,W,nW
1703,-/-,14,14,1,3.83195455958799e-06,3.83195455958799e-06,0.99999616804544,0.99999616804544,,10,1,1
2889,b/b,104,104,1,2.84659481569393e-05,2.84659481569393e-05,0.999971534051843,0.999971534051843,SP_0003,10,1,1
3158,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,,10,1,1
3159,-/-,736,736,1,0.00020145132541834,0.00020145132541834,0.999798548674582,0.999798548674582,,10,1,1
3212,b/b,366,366,1,0.000100178240629229,0.000100178240629229,0.999899821759371,0.999899821759371,SP_0004,10,1,1
6075,b/b,971,971,1,0.000265773419811424,0.000265773419811424,0.999734226580189,0.999734226580189,SP_0006,10,1,1
6443,-/-,2,2,1,5.47422079941141e-07,5.47422079941141e-07,0.99999945257792,0.99999945257792,SP_0006,10,1,1
6444,b/b,1296,1296,1,0.00035472950780186,0.00035472950780186,0.999645270492198,0.999645270492198,SP_0006,10,1,1
6467,b/b,25,25,1,6.84277599926426e-06,6.84277599926426e-06,0.999993157224001,0.999993157224001,SP_0006,10,1,1
6982,b/b,38,38,1,1.04010195188817e-05,1.04010195188817e-05,0.999989598980481,0.999989598980481,SP_0006,10,1,1
7167,b/b,2328,2328,1,0.000637199301051488,0.000637199301051488,0.999362800698949,0.999362800698949,SP_0006,10,1,1
8026,b/b,1041,1041,1,0.000284933192609364,0.000284933192609364,0.999715066807391,0.999715066807391,SP_0006,10,1,1
8147,b/b,165,165,1,4.51623215951441e-05,4.51623215951441e-05,0.999954837678405,0.999954837678405,,10,1,1
8479,b/b,342,342,1,9.36091756699351e-05,9.36091756699351e-05,0.99990639082433,0.99990639082433,,10,1,1
8537,-/-,37,37,1,1.01273084789111e-05,1.01273084789111e-05,0.999989872691521,0.999989872691521,SP_0007,10,1,1
9803,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0010,10,1,1
10949,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0011,10,1,1
12119,-/-,249,249,1,6.81540489526721e-05,6.81540489526721e-05,0.999931845951047,0.999931845951047,SP_0012,10,1,1
12247,b/b,2,2,1,5.47422079941141e-07,5.47422079941141e-07,0.99999945257792,0.99999945257792,SP_0012,10,1,1
12248,b/b,9173,9173,1,0.00251075136965004,0.00251075136965004,0.99748924863035,0.99748924863035,SP_0012,10,1,1
21333,b/b,312,312,1,8.5397844470818e-05,8.5397844470818e-05,0.999914602155529,0.999914602155529,SP_0017,10,1,1
21751,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0017,10,1,1
24156,b/b,736,736,1,0.00020145132541834,0.00020145132541834,0.999798548674582,0.999798548674582,,10,1,1
24166,-/-,12,12,1,3.28453247964685e-06,3.28453247964685e-06,0.99999671546752,0.99999671546752,,10,1,1
24234,-/-,436,436,1,0.000119338013427169,0.000119338013427169,0.999880661986573,0.999880661986573,,10,1,1
25343,b/b,1354,1354,1,0.000370604748120153,0.000370604748120153,0.99962939525188,0.99962939525188,SP_0021,10,1,1
25664,b/b,1063,1063,1,0.000290954835488717,0.000290954835488717,0.999709045164511,0.999709045164511,SP_0022,10,1,1
25761,b/b,2032,2032,1,0.000556180833220199,0.000556180833220199,0.99944381916678,0.99944381916678,SP_0022,10,1,1
26938,+/+,8,8,1,2.18968831976456e-06,2.18968831976456e-06,0.99999781031168,0.99999781031168,SP_0023,10,1,1
27942,b/b,994,994,1,0.000272068773730747,0.000272068773730747,0.999727931226269,0.999727931226269,SP_0025,10,1,1
27943,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0025,10,1,1
28173,b/b,20,20,1,5.47422079941141e-06,5.47422079941141e-06,0.999994525779201,0.999994525779201,SP_0026,10,1,1
28374,b/b,74,74,1,2.02546169578222e-05,2.02546169578222e-05,0.999979745383042,0.999979745383042,SP_0026,10,1,1
28839,b/b,135,135,1,3.6950990396027e-05,3.6950990396027e-05,0.999963049009604,0.999963049009604,,10,1,1
29751,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,,10,1,1
29909,b/b,46,46,1,1.25907078386462e-05,1.25907078386462e-05,0.999987409292161,0.999987409292161,,10,1,1
31185,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0031,10,1,1
31380,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,,10,1,1
31385,b/b,4,4,1,1.09484415988228e-06,1.09484415988228e-06,0.99999890515584,0.99999890515584,,10,1,1
31394,-/-,5,5,1,1.36855519985285e-06,1.36855519985285e-06,0.9999986314448,0.9999986314448,,10,1,1
34193,+/+,3,3,1,8.21133119911712e-07,8.21133119911712e-07,0.99999917886688,0.99999917886688,,10,1,1
34395,b/b,833,833,1,0.000228001296295485,0.000228001296295485,0.999771998703704,0.999771998703704,SP_0033,10,1,1
35297,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0034,10,1,1
37070,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0035,10,1,1
39523,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0039,10,1,1
40290,b/b,292,292,1,7.99236236714066e-05,7.99236236714066e-05,0.999920076376329,0.999920076376329,,10,1,1
40312,b/b,935,935,1,0.000255919822372483,0.000255919822372483,0.999744080177628,0.999744080177628,,10,1,1
40376,b/b,274,274,1,7.49968249519363e-05,7.49968249519363e-05,0.999925003175048,0.999925003175048,,10,1,1
40414,-/-,180,180,1,4.92679871947027e-05,4.92679871947027e-05,0.999950732012805,0.999950732012805,,10,1,1
41496,b/b,249,249,1,6.81540489526721e-05,6.81540489526721e-05,0.999931845951047,0.999931845951047,SP_0042,10,1,1
42966,b/b,409,409,1,0.000111947815347963,0.000111947815347963,0.999888052184652,0.999888052184652,,10,1,1
43571,b/b,134,134,1,3.66772793560565e-05,3.66772793560565e-05,0.999963322720644,0.999963322720644,SP_0043,10,1,1
43721,b/b,88,88,1,2.40865715174102e-05,2.40865715174102e-05,0.999975913428483,0.999975913428483,SP_0043,10,1,1
43874,b/b,805,805,1,0.000220337387176309,0.000220337387176309,0.999779662612824,0.999779662612824,SP_0043,10,1,1
44538,b/b,25,25,1,6.84277599926426e-06,6.84277599926426e-06,0.999993157224001,0.999993157224001,SP_0044,10,1,1
45024,b/b,412,412,1,0.000112768948467875,0.000112768948467875,0.999887231051532,0.999887231051532,SP_0044,10,1,1
45294,b/b,1918,1918,1,0.000524977774663554,0.000524977774663554,0.999475022225336,0.999475022225336,,10,1,1
45530,b/b,212,212,1,5.8026740473761e-05,5.8026740473761e-05,0.999941973259526,0.999941973259526,SP_0045,10,1,1
45532,b/b,506,506,1,0.000138497786225109,0.000138497786225109,0.999861502213775,0.999861502213775,SP_0045,10,1,1
46368,b/b,68,68,1,1.86123507179988e-05,1.86123507179988e-05,0.999981387649282,0.999981387649282,SP_0045,10,1,1
46422,b/b,1648,1648,1,0.0004510757938715,0.0004510757938715,0.999548924206129,0.999548924206129,SP_0045,10,1,1
46490,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0045,10,1,1
46652,b/b,749,749,1,0.000205009568937957,0.000205009568937957,0.999794990431062,0.999794990431062,SP_0045,10,1,1
47739,b/b,34,34,1,9.3061753589994e-06,9.3061753589994e-06,0.999990693824641,0.999990693824641,SP_0045,10,1,1
48095,b/b,35,35,1,9.57988639896997e-06,9.57988639896997e-06,0.999990420113601,0.999990420113601,SP_0045,10,1,1
48284,-/-,42,42,1,1.1495863678764e-05,1.1495863678764e-05,0.999988504136321,0.999988504136321,SP_0045,10,1,1
48714,+/+,13,13,1,3.55824351961742e-06,3.55824351961742e-06,0.99999644175648,0.99999644175648,SP_0045,10,1,1
49048,b/b,4866,4866,1,0.0013318779204968,0.0013318779204968,0.998668122079503,0.998668122079503,,10,1,1
49739,b/b,5840,5840,1,0.00159847247342813,0.00159847247342813,0.998401527526572,0.998401527526572,SP_0046,10,1,1
49942,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0046,10,1,1
49943,b/b,1740,1740,1,0.000476257209548793,0.000476257209548793,0.999523742790451,0.999523742790451,SP_0046,10,1,1
49986,b/b,407,407,1,0.000111400393268022,0.000111400393268022,0.999888599606732,0.999888599606732,SP_0046,10,1,1
50400,b/b,1295,1295,1,0.000354455796761889,0.000354455796761889,0.999645544203238,0.999645544203238,SP_0046,10,1,1
50837,b/b,2223,2223,1,0.000608459641854578,0.000608459641854578,0.999391540358145,0.999391540358145,,10,1,1
51049,b/b,2869,2869,1,0.000785276973675567,0.000785276973675567,0.999214723026324,0.999214723026324,SP_0047,10,1,1
51050,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0047,10,1,1
51106,b/b,202,202,1,5.52896300740553e-05,5.52896300740553e-05,0.999944710369926,0.999944710369926,SP_0047,10,1,1
51107,-/-,4,4,1,1.09484415988228e-06,1.09484415988228e-06,0.99999890515584,0.99999890515584,SP_0047,10,1,1
52320,b/b,191,191,1,5.2278808634379e-05,5.2278808634379e-05,0.999947721191366,0.999947721191366,SP_0048,10,1,1
52659,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0049,10,1,1
52874,-/-,11,11,1,3.01082143967628e-06,3.01082143967628e-06,0.99999698917856,0.99999698917856,SP_0049,10,1,1
52876,b/b,867,867,1,0.000237307471654485,0.000237307471654485,0.999762692528345,0.999762692528345,SP_0049,10,1,1
53384,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0050,10,1,1
54069,b/b,1168,1168,1,0.000319694494685626,0.000319694494685626,0.999680305505314,0.999680305505314,SP_0050,10,1,1
54608,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,,10,1,1
54703,b/b,143,143,1,3.91406787157916e-05,3.91406787157916e-05,0.999960859321284,0.999960859321284,,10,1,1
54827,b/b,1628,1628,1,0.000445601573072089,0.000445601573072089,0.999554398426928,0.999554398426928,SP_0051,10,1,1
54876,b/b,14,14,1,3.83195455958799e-06,3.83195455958799e-06,0.99999616804544,0.99999616804544,SP_0051,10,1,1
55927,b/b,2562,2562,1,0.000701247684404602,0.000701247684404602,0.999298752315595,0.999298752315595,,10,1,1
57371,-/-,10,10,1,2.73711039970571e-06,2.73711039970571e-06,0.9999972628896,0.9999972628896,SP_0054,10,1,1
57876,-/-,33,33,1,9.03246431902883e-06,9.03246431902883e-06,0.999990967535681,0.999990967535681,,10,1,1
59558,b/b,650,650,1,0.000177912175980871,0.000177912175980871,0.999822087824019,0.999822087824019,,10,1,1
59640,+/+,3,3,1,8.21133119911712e-07,8.21133119911712e-07,0.99999917886688,0.99999917886688,SP_0057,10,1,1
59877,b/b,2,2,1,5.47422079941141e-07,5.47422079941141e-07,0.99999945257792,0.99999945257792,SP_0057,10,1,1
59928,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0057,10,1,1
59929,b/b,696,696,1,0.000190502883819517,0.000190502883819517,0.999809497116181,0.999809497116181,SP_0057,10,1,1
59975,b/b,364,364,1,9.96308185492877e-05,9.96308185492877e-05,0.999900369181451,0.999900369181451,SP_0057,10,1,1
60009,b/b,588,588,1,0.000160942091502695,0.000160942091502695,0.999839057908497,0.999839057908497,SP_0057,10,1,1
60111,b/b,592,592,1,0.000162036935662578,0.000162036935662578,0.999837963064337,0.999837963064337,SP_0057,10,1,1
60251,b/b,56,56,1,1.5327818238352e-05,1.5327818238352e-05,0.999984672181762,0.999984672181762,SP_0057,10,1,1
60612,b/b,276,276,1,7.55442470318775e-05,7.55442470318775e-05,0.999924455752968,0.999924455752968,SP_0057,10,1,1
60614,b/b,629,629,1,0.000172164244141489,0.000172164244141489,0.999827835755859,0.999827835755859,SP_0057,10,1,1
60615,-/-,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0057,10,1,1
60629,b/b,2181,2181,1,0.000596963778175814,0.000596963778175814,0.999403036221824,0.999403036221824,SP_0057,10,1,1
60854,b/b,372,372,1,0.000101820506869052,0.000101820506869052,0.999898179493131,0.999898179493131,SP_0057,10,1,1
60924,b/b,28,28,1,7.66390911917598e-06,7.66390911917598e-06,0.999992336090881,0.999992336090881,SP_0057,10,1,1
60942,b/b,3559,3559,1,0.000974137591255261,0.000974137591255261,0.999025862408745,0.999025862408745,SP_0057,10,1,1
61199,b/b,2428,2428,1,0.000664570405048545,0.000664570405048545,0.999335429594951,0.999335429594951,SP_0057,10,1,1
61326,b/b,2897,2897,1,0.000792940882794743,0.000792940882794743,0.999207059117205,0.999207059117205,SP_0057,10,1,1
61988,b/b,4676,4676,1,0.00127987282290239,0.00127987282290239,0.998720127177098,0.998720127177098,SP_0057,10,1,1
62153,b/b,328,328,1,8.97772211103472e-05,8.97772211103472e-05,0.99991022277889,0.99991022277889,SP_0057,10,1,1
62685,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0057,10,1,1
62711,+/+,1,1,1,2.73711039970571e-07,2.73711039970571e-07,0.99999972628896,0.99999972628896,SP_0057,10,1,1
62712,b/b,626,626,1,0.000171343111021577,0.000171343111021577,0.999828656888978,0.999828656888978,SP_0057,10,1,1
63010,b/b,704,704,1,0.000192692572139282,0.000192692572139282,0.999807307427861,0.999807307427861,SP_0057,10,1,1
63294,-/-,26,26,1,7.11648703923484e-06,7.11648703923484e-06,0.999992883512961,0.999992883512961,,10,1,1
63363,b/b,1260,1260,1,0.000344875910362919,0.000344875910362919,0.999655124089637,0.999655124089637,,10,1,1
63680,+/+,176,176,1,4.81731430348204e-05,4.81731430348204e-05,0.999951826856965,0.999951826856965,,10,1,1
63744,b/b,311,311,1,8.51241334308475e-05,8.51241334308475e-05,0.999914875866569,0.999914875866569,,10,1,1
63748,b/b,44,44,1,1.20432857587051e-05,1.20432857587051e-05,0.999987956714241,0.999987956714241,,10,1,1
63750,b/b,267,267,1,7.30808476721423e-05,7.30808476721423e-05,0.999926919152328,0.999926919152328,,10,1,1
