position,strand,count_1,count_2,ratio,mt_freq_t1,mt_freq_t2,pop_freq_t1,pop_freq_t2,gene,D,W,nW
44,-/-,7,7,1,1.97672323672051e-06,1.97672323672051e-06,0.999998023276763,0.999998023276763,,10,1,1
1287,+/+,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,SP_0001,10,1,1
1703,b/b,314,314,1,8.86701566186059e-05,8.86701566186059e-05,0.999911329843381,0.999911329843381,,10,1,1
2889,b/b,101,101,1,2.85212924155389e-05,2.85212924155389e-05,0.999971478707585,0.999971478707585,SP_0003,10,1,1
3158,-/-,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,,10,1,1
3159,-/-,1230,1230,1,0.000347338511595176,0.000347338511595176,0.999652661488405,0.999652661488405,,10,1,1
3212,b/b,886,886,1,0.000250196683962054,0.000250196683962054,0.999749803316038,0.999749803316038,SP_0004,10,1,1
4315,b/b,836,836,1,0.000236077232271193,0.000236077232271193,0.999763922767729,0.999763922767729,,10,1,1
4332,-/-,2,2,1,5.64778067634433e-07,5.64778067634433e-07,0.999999435221932,0.999999435221932,,10,1,1
6075,b/b,5,5,1,1.41194516908608e-06,1.41194516908608e-06,0.999998588054831,0.999998588054831,SP_0006,10,1,1
6444,b/b,1008,1008,1,0.000284648146087754,0.000284648146087754,0.999715351853912,0.999715351853912,SP_0006,10,1,1
6982,b/b,136,136,1,3.84049085991414e-05,3.84049085991414e-05,0.999961595091401,0.999961595091401,SP_0006,10,1,1
7167,b/b,3381,3381,1,0.000954757323336008,0.000954757323336008,0.999045242676664,0.999045242676664,SP_0006,10,1,1
8026,b/b,2,2,1,5.64778067634433e-07,5.64778067634433e-07,0.999999435221932,0.999999435221932,SP_0006,10,1,1
8147,b/b,196,196,1,5.53482506281744e-05,5.53482506281744e-05,0.999944651749372,0.999944651749372,,10,1,1
8537,b/b,475,475,1,0.000134134791063178,0.000134134791063178,0.999865865208937,0.999865865208937,SP_0007,10,1,1
8538,-/-,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,SP_0007,10,1,1
8612,b/b,980,980,1,0.000276741253140872,0.000276741253140872,0.999723258746859,0.999723258746859,SP_0007,10,1,1
9118,b/b,239,239,1,6.74909790823147e-05,6.74909790823147e-05,0.999932509020918,0.999932509020918,,10,1,1
9244,-/-,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,SP_0009,10,1,1
10095,+/+,7,7,1,1.97672323672051e-06,1.97672323672051e-06,0.999998023276763,0.999998023276763,SP_0010,10,1,1
10887,-/-,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,SP_0011,10,1,1
10949,+/+,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,SP_0011,10,1,1
12119,b/b,782,782,1,0.000220828224445063,0.000220828224445063,0.999779171775555,0.999779171775555,SP_0012,10,1,1
12248,b/b,9422,9422,1,0.00266066947662581,0.00266066947662581,0.997339330523374,0.997339330523374,SP_0012,10,1,1
12784,b/b,66,66,1,1.86376762319363e-05,1.86376762319363e-05,0.999981362323768,0.999981362323768,SP_0013,10,1,1
21326,-/-,1,1,1,2.82389033817216e-07,2.82389033817216e-07,0.999999717610966,0.999999717610966,SP_0017,10,1,1
